,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START_x,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,PREVIOUS_LOANS_COUNT,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,DAYS_CREDIT_UPDATE,AMT_ANNUITY_y,MONTHS_BALANCE_MEAN,PREVIOUS_APPLICATION_COUNT,SK_ID_PREV,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT_y,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE_y,HOUR_APPR_PROCESS_START_y,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,DAYS_DECISION,SELLERPLACE_AREA,CNT_PAYMENT,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL,MONTHS_BALANCE_x,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,SK_DPD_x,SK_DPD_DEF_x,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT,MONTHS_BALANCE_y,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,SK_DPD_y,SK_DPD_DEF_y
0,100002,1.0,Cash loans,M,N,Y,0,202500.0,406597.5,24700.5,351000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-9461,-637.0,-3648.0,-2120,,1,1,0,1,1,0,Laborers,1.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.0830369673913225,0.2629485927471776,0.1393757800997895,0.0247,0.0369,0.9722,0.6192,0.0143,0.0,0.069,0.0833,0.125,0.0369,0.0202,0.019,0.0,0.0,0.0252,0.0383,0.9722,0.6341,0.0144,0.0,0.069,0.0833,0.125,0.0377,0.022,0.0198,0.0,0.0,0.025,0.0369,0.9722,0.6243,0.0144,0.0,0.069,0.0833,0.125,0.0375,0.0205,0.0193,0.0,0.0,reg oper account,block of flats,0.0149,"Stone, brick",No,2.0,2.0,2.0,2.0,-1134.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0673290349857309,0.4980355265342261,202500.0,0.1219777777777777,0.0607492667810303,8.0,-874.0,0.0,-349.0,-697.5,1681.029,0.0,108131.945625,49156.2,7997.14125,0.0,-499.875,0.0,-21.875,1.0,1038818.0,9251.775,179055.0,179055.0,0.0,179055.0,9.0,1.0,0.0,,,-606.0,500.0,24.0,365243.0,-565.0,125.0,-25.0,-17.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0526315789473684,10.0,-295.0,-315.42105263157896,11559.24710526316,11559.24710526316,-10.0,24.0,15.0,0.0,0.0
1,100003,0.0,Cash loans,F,N,N,0,270000.0,1293502.5,35698.5,1129500.0,Family,State servant,Higher education,Married,House / apartment,0.0035409999999999,-16765,-1188.0,-1186.0,-291,,1,1,0,1,1,0,Core staff,2.0,1,1,MONDAY,11,0,0,0,0,0,0,School,0.3112673113812225,0.6222457752555098,,0.0959,0.0529,0.9851,0.7959999999999999,0.0605,0.08,0.0345,0.2917,0.3333,0.013,0.0773,0.0549,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,reg oper account,block of flats,0.0714,Block,No,1.0,0.0,1.0,0.0,-828.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708619147032508,0.2087355841987162,135000.0,0.1322166666666666,0.0275983231574736,4.0,-1400.75,0.0,-544.5,-1097.3333333333333,0.0,0.0,254350.125,0.0,202500.0,0.0,-816.0,,,3.0,2281150.333333333,56553.99,435436.5,484191.0,3442.5,435436.5,14.666666666666666,1.0,0.0500302975712811,,,-1305.0,533.0,10.0,365243.0,-1274.3333333333333,-1004.3333333333334,-1054.3333333333333,-1047.3333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,1.0476190476190477,4.666666666666667,-1164.3333333333333,-1171.781746031746,78558.47928571429,78558.47928571429,-39.16666666666666,9.791666666666666,5.666666666666667,0.0,0.0
2,100004,0.0,Revolving loans,M,Y,Y,0,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-19046,-225.0,-4260.0,-2531,26.0,1,1,1,1,1,0,Laborers,1.0,2,2,MONDAY,9,0,0,0,0,0,0,Government,,0.5559120833904428,0.7295666907060153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118135041478525,0.5,67500.0,0.1,0.05,2.0,-867.0,0.0,-488.5,-532.5,0.0,0.0,94518.9,0.0,0.0,0.0,-532.0,,,1.0,1564014.0,5357.25,24282.0,20106.0,4860.0,24282.0,5.0,1.0,0.2120076030674443,,,-815.0,30.0,4.0,365243.0,-784.0,-694.0,-724.0,-714.0,0.0,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,2.0,-754.0,-761.6666666666666,7096.155,7096.155,-25.5,3.75,2.25,0.0,0.0
3,100006,0.0,Cash loans,F,N,Y,0,135000.0,312682.5,29686.5,297000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039.0,-9833.0,-2437,,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,17,0,0,0,0,0,0,Business Entity Type 3,,0.6504416904014653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-617.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.1599052880820836,0.4317478592501979,67500.0,0.2199,0.0949413542491185,,,,,,,,,,,,,,,9.0,1932462.111111111,23651.175,272203.26,291695.5,34840.17,408304.89,14.666666666666666,1.0,0.1634121025409242,,,-272.44444444444446,894.2222222222222,23.0,365243.0,91066.5,91584.0,182477.5,182481.75,0.0,-3.5,0.0,270000.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,1.4,3.1666666666666665,-260.6666666666667,-285.96666666666664,241944.225,241944.225,-9.0,12.888888888888893,10.214285714285714,0.0,0.0
4,100007,0.0,Cash loans,M,N,Y,0,121500.0,513000.0,21865.5,513000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038.0,-4311.0,-3458,,1,1,0,1,0,0,Core staff,1.0,2,2,THURSDAY,11,0,0,0,0,1,1,Religion,,0.3227382869704046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1106.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1524182219546458,0.2368421052631578,121500.0,0.1799629629629629,0.0426228070175438,1.0,-1149.0,0.0,-783.0,-783.0,0.0,0.0,146250.0,0.0,0.0,0.0,-783.0,,,6.0,2157811.833333333,12278.805,150530.25,166638.75,3390.75,150530.25,12.333333333333334,1.0,0.1595164060251766,,,-1222.8333333333333,409.1666666666667,20.666666666666668,365243.0,-1263.2,-837.2,72136.2,72143.8,0.6,,,,,,,,,,,,,,,,,,,,,1.1294117647058823,6.843956043956044,-1087.8813186813188,-1090.7685391079508,12122.995737944408,11671.54021047188,-36.1,15.066666666666666,8.966666666666667,0.0,0.0
5,100008,0.0,Cash loans,M,N,Y,0,99000.0,490495.5,27517.5,454500.0,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588.0,-4970.0,-477,,1,1,1,1,1,0,Laborers,2.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,Other,,0.3542247319929012,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2536.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0937370875391063,0.2018367140982944,49500.0,0.2779545454545454,0.0561014321232304,3.0,-757.3333333333334,0.0,-391.3333333333333,-909.0,0.0,0.0,156148.5,80019.0,0.0,0.0,-611.0,,,5.0,1936735.2,15839.69625,155701.8,162767.7,5548.5,194627.25,12.0,1.0,0.0730507075001457,,,-1192.0,73.0,14.0,365243.0,-1434.5,-1044.5,-1209.5,-872.75,0.25,,,,,,,,,,,,,,,,,,,,,1.03125,4.852272727272728,-1318.931818181818,-1301.8617424242425,28547.51239772727,28275.099784090908,-38.625,13.38888888888889,8.050820707070708,127.91818181818182,0.0
6,100009,0.0,Cash loans,F,Y,Y,1,171000.0,1560726.0,41301.0,1395000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,-13778,-3130.0,-1213.0,-619,17.0,1,1,0,1,1,0,Accountants,3.0,2,2,SUNDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.7747614130547695,0.7239998516953141,0.4920600938649263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1562.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0,0.2271737552620119,0.109564395031543,57000.0,0.2415263157894736,0.0264626846736711,18.0,-1271.5,0.0,-794.9375,-1108.5,0.0,0.0,266711.75,76953.53571428571,0.0,0.0,-851.6111111111111,,,7.0,1881797.7142857143,10051.412142857142,76741.71428571429,70137.64285714286,9203.142857142857,76741.71428571429,13.714285714285714,1.0,0.1266023051333171,,,-719.2857142857143,170.0,8.0,365243.0,-688.2857142857143,-478.2857142857143,51666.857142857145,51672.857142857145,0.0,,,,,,,,,,,,,,,,,,,,,1.0,3.857142857142857,-602.5714285714286,-612.2452380952382,10050.262714285716,10050.262714285716,-19.928571428571427,8.0,4.598901098901099,0.0,0.0
7,100010,0.0,Cash loans,M,Y,Y,0,360000.0,1530000.0,42075.0,1530000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.0031219999999999,-18850,-449.0,-4597.0,-2379,8.0,1,1,1,1,0,0,Managers,2.0,3,3,MONDAY,16,0,0,0,0,1,1,Other,,0.7142792864482229,0.5406544504453575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1070.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238196286472148,0.2352941176470588,180000.0,0.116875,0.0275,2.0,-1939.5,0.0,-119.5,-1138.0,,0.0,495000.0,174003.75,0.0,0.0,-578.0,,-46.0,1.0,2349489.0,27463.41,247212.0,260811.0,0.0,247212.0,16.0,1.0,0.0,,,-1070.0,8636.0,10.0,365243.0,-1039.0,-769.0,-769.0,-762.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,5.5,-904.0,-915.9,27449.208,27449.208,-30.0,10.0,5.0,0.0,0.0
8,100011,0.0,Cash loans,F,N,Y,0,112500.0,1019610.0,33826.5,913500.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20099,,-7427.0,-3514,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,XNA,0.5873340468730377,0.2057472880073281,0.7517237147741489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,0.1103363050578162,56250.0,0.30068,0.0331759202047841,4.0,-1773.0,0.0,-1293.25,-1463.25,5073.615,0.0,108807.075,0.0,0.0,0.0,-1454.75,,,4.0,2184033.5,18303.195,202732.875,261840.375,6797.25,270310.5,11.75,1.0,0.05000522275463,,,-1784.5,342.25,14.0,242736.3333333333,-1955.0,120935.66666666669,-1231.0,121258.0,0.6666666666666666,-38.5,54482.11114864865,164189.1891891892,2432.4324324324325,2432.4324324324325,0.0,0.0,3956.221849315069,4843.064189189189,4520.067567567568,52402.08891891892,54433.17912162162,54433.17912162162,0.054054054054054,0.054054054054054,0.0,0.0,25.767123287671232,0.0,0.0,0.6666666666666666,21.187334393216748,-1361.0992664491116,-1346.3625428834407,16872.438233516023,13467.097144485817,-42.75,20.988888888888887,8.316666666666666,171.38888888888889,0.2888888888888888
9,100012,0.0,Revolving loans,M,N,Y,0,135000.0,405000.0,20250.0,405000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.0196889999999999,-14469,-2019.0,-14437.0,-3992,,1,1,0,1,0,0,Laborers,1.0,2,2,THURSDAY,8,0,0,0,0,0,0,Electricity,,0.7466436294590924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.1395397055774414,0.3333333333333333,135000.0,0.15,0.05,,,,,,,,,,,,,,,4.0,2227318.5,7894.155,60930.0,74119.5,0.0,81240.0,12.5,1.0,0.0,,,-779.75,9.75,18.0,365243.0,-973.3333333333334,-463.3333333333333,-563.3333333333334,-559.3333333333334,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,1.96513209013209,7.8918026418026415,-766.579254079254,-788.973581973582,8743.123277972027,9911.79755681818,-25.83333333333333,17.03166109253066,9.331661092530656,0.0,0.0
